,daily_return,total assets
143,-0.0011497021680838626,773431.4727993488
144,0.0018693027238881586,774877.2503581934
145,0.019159826601400688,789723.7641124266
146,-0.0025411360069093687,787716.9686199285
147,0.0004017488066297312,788033.4329720335
148,-0.01060968649776549,779672.6452984423
149,-0.006814229715490405,774359.7767904947
150,-0.0021125919366285694,772723.8705699976
151,-0.017802379591121305,758967.54690699
152,0.005482627506918878,763128.683256521
153,-0.0018262495376384726,761735.0198515651
154,-0.0030740540733819547,759393.4052109527
155,-0.010590324247849644,751351.1828180901
156,-0.010694526953297362,743315.8373420502
157,0.008716288470194946,749794.792604788
158,0.0008067504491956797,750399.6898905265
159,-0.014467143032998418,739543.5502449626
160,-0.004693217061277919,736072.7118373949
161,-0.012727407763230886,726704.4142904532
162,-0.018404502068248264,713329.7813946394
